method,split,seeds,probe,knn,fewshot,head,Δ probe vs zero-shot,uplink MB/round
frozen backbone (zero-shot),—,1,85.59,84.24,82.61,—,0.0,0.0
FedMIM-LoRA (no labels),IID,3,88.09 ± 0.14,87.64 ± 0.15,85.90 ± 0.17,—,2.4999996026356968,4.0458221435546875
FedMIM-LoRA (no labels),α=0.5,3,88.15 ± 0.20,87.70 ± 0.13,85.93 ± 0.12,—,2.556663751602173,4.0458221435546875
FedMIM-LoRA (no labels),α=0.1,3,88.15 ± 0.20,87.53 ± 0.30,85.77 ± 0.16,—,2.556663751602173,4.0458221435546875
FedMIM-LoRA (no labels),α=0.05,3,88.16 ± 0.08,87.55 ± 0.17,85.90 ± 0.02,—,2.5699992974599155,4.0458221435546875
Supervised FedLoRA (labels),IID,3,90.72 ± 0.06,90.11 ± 0.05,89.04 ± 0.06,89.00 ± 0.13,5.133332808812455,1.2717208862304688
Supervised FedLoRA (labels),α=0.5,3,90.23 ± 0.03,89.33 ± 0.14,88.19 ± 0.09,83.02 ± 0.76,4.6399970849355014,1.2717208862304688
Supervised FedLoRA (labels),α=0.1,3,89.61 ± 0.07,88.07 ± 0.08,86.88 ± 0.07,66.67 ± 1.50,4.019997517267868,1.2717208862304688
Supervised FedLoRA (labels),α=0.05,3,89.14 ± 0.13,86.72 ± 0.34,85.78 ± 0.13,49.75 ± 7.36,3.5533328851064,1.2717208862304688
Supervised + MIM hybrid,IID,3,90.71 ± 0.04,90.18 ± 0.06,88.90 ± 0.11,88.94 ± 0.16,5.11666337649028,4.192497253417969
Supervised + MIM hybrid,α=0.05,3,89.24 ± 0.04,87.13 ± 0.25,86.18 ± 0.35,55.32 ± 4.84,3.646667798360184,4.192497253417969
Supervised FedLoRA + FedProx,α=0.05,3,87.00 ± 0.15,85.83 ± 0.03,84.18 ± 0.09,45.55 ± 3.00,1.406665643056229,1.2717208862304688
