metric,method,split,seeds,penalty (pt),seed s.d.,95% CI lo,95% CI hi,seeds with penalty>0
probe,FedMIM-LoRA (no labels),α=0.5,3,-0.057,0.225,-0.203,0.087,1/3
probe,FedMIM-LoRA (no labels),α=0.1,3,-0.057,0.333,-0.233,0.123,2/3
probe,FedMIM-LoRA (no labels),α=0.05,3,-0.07,0.2,-0.243,0.1,1/3
probe,Supervised FedLoRA (labels),α=0.5,3,0.493,0.074,0.267,0.72,3/3
probe,Supervised FedLoRA (labels),α=0.1,3,1.113,0.015,0.82,1.42,3/3
probe,Supervised FedLoRA (labels),α=0.05,3,1.58,0.139,1.243,1.917,3/3
probe,Supervised + MIM hybrid,α=0.05,3,1.47,0.017,1.133,1.81,3/3
probe,Supervised FedLoRA + FedProx (vs SUP-IID),α=0.05,3,3.727,0.159,3.187,4.247,3/3
knn,FedMIM-LoRA (no labels),α=0.5,3,-0.067,0.144,-0.207,0.07,1/3
knn,FedMIM-LoRA (no labels),α=0.1,3,0.11,0.366,-0.063,0.277,2/3
knn,FedMIM-LoRA (no labels),α=0.05,3,0.083,0.214,-0.087,0.253,2/3
knn,Supervised FedLoRA (labels),α=0.5,3,0.787,0.121,0.57,1.003,3/3
knn,Supervised FedLoRA (labels),α=0.1,3,2.047,0.042,1.717,2.377,3/3
knn,Supervised FedLoRA (labels),α=0.05,3,3.39,0.34,3.0,3.783,3/3
knn,Supervised + MIM hybrid,α=0.05,3,3.05,0.2,2.68,3.433,3/3
knn,Supervised FedLoRA + FedProx (vs SUP-IID),α=0.05,3,4.283,0.021,3.69,4.867,3/3
head,Supervised FedLoRA (labels),α=0.5,3,5.98,0.865,5.523,6.41,3/3
head,Supervised FedLoRA (labels),α=0.1,3,22.33,1.525,21.667,23.007,3/3
head,Supervised FedLoRA (labels),α=0.05,3,39.253,7.346,38.543,39.953,3/3
head,Supervised + MIM hybrid,α=0.05,3,33.617,4.805,32.927,34.32,3/3
head,Supervised FedLoRA + FedProx (vs SUP-IID),α=0.05,3,43.453,2.906,42.723,44.197,3/3
