method,split,seeds,val-kNN backtracking (pt),val-kNN max drawdown (pt),val-kNN drops,val-head backtracking (pt),val-head max drawdown (pt),client-loss CV,probe seed s.d. (pt)
FedMIM-LoRA (no labels),IID,3,0.153,0.12,1.333,,,0.002,0.135
FedMIM-LoRA (no labels),α=0.5,3,0.14,0.12,0.667,,,0.007,0.203
FedMIM-LoRA (no labels),α=0.1,3,0.447,0.307,2.0,,,0.013,0.203
FedMIM-LoRA (no labels),α=0.05,3,0.193,0.147,1.0,,,0.015,0.079
Supervised FedLoRA (labels),IID,3,0.087,0.087,1.0,0.127,0.127,0.009,0.055
Supervised FedLoRA (labels),α=0.5,3,0.113,0.107,1.0,0.02,0.02,0.05,0.026
Supervised FedLoRA (labels),α=0.1,3,0.333,0.233,1.667,0.033,0.033,0.092,0.07
Supervised FedLoRA (labels),α=0.05,3,2.127,1.22,4.0,2.1,1.907,0.118,0.126
Supervised + MIM hybrid,IID,3,0.1,0.087,0.667,0.053,0.053,0.005,0.035
Supervised + MIM hybrid,α=0.05,3,1.667,1.127,3.0,2.26,2.013,0.08,0.04
Supervised FedLoRA + FedProx,α=0.05,3,6.387,6.073,3.333,13.747,11.873,0.074,0.15
